,item_main_category,exclusivity_clean,sourcing_location,wh_flag,beta,beta_err,beta_one,beta_one_err
282,WOHNEN,thirdParty,Import,0,0.503,0.015,0.424,0.021
283,WOHNEN,thirdParty,Import,1,0.468,0.014,0.432,0.025
284,WOHNEN,thirdParty,EE,0,0.361,0.013,0.357,0.021
285,WOHNEN,thirdParty,EE,1,0.326,0.013,0.365,0.025
286,WOHNEN,thirdParty,Domestic,0,0.323,0.013,0.335,0.021
287,WOHNEN,thirdParty,Domestic,1,0.287,0.012,0.343,0.025
288,WOHNEN,ownDeveloped,Import,0,0.575,0.015,0.455,0.021
289,WOHNEN,ownDeveloped,Import,1,0.54,0.015,0.463,0.025
290,WOHNEN,ownDeveloped,EE,0,0.434,0.014,0.388,0.021
291,WOHNEN,ownDeveloped,EE,1,0.398,0.013,0.396,0.025
292,WOHNEN,ownDeveloped,Domestic,0,0.395,0.013,0.366,0.021
293,WOHNEN,ownDeveloped,Domestic,1,0.359,0.013,0.374,0.025
294,WOHNEN,whiteLabel,Import,0,0.515,0.015,0.43,0.021
295,WOHNEN,whiteLabel,Import,1,0.479,0.014,0.438,0.025
296,WOHNEN,whiteLabel,EE,0,0.373,0.013,0.363,0.021
297,WOHNEN,whiteLabel,EE,1,0.338,0.013,0.371,0.025
298,WOHNEN,whiteLabel,Domestic,0,0.334,0.013,0.341,0.021
299,WOHNEN,whiteLabel,Domestic,1,0.299,0.012,0.349,0.025
300,GARTEN,exclusive,Import,0,0.421,0.015,0.34,0.021
301,GARTEN,exclusive,Import,1,0.385,0.014,0.295,0.026
302,GARTEN,exclusive,EE,0,0.279,0.013,0.273,0.021
303,GARTEN,exclusive,EE,1,0.244,0.013,0.228,0.026
304,GARTEN,exclusive,Domestic,0,0.24,0.013,0.251,0.021
305,GARTEN,exclusive,Domestic,1,0.205,0.012,0.206,0.026
306,GARTEN,other,Import,0,0.351,0.015,0.325,0.021
307,GARTEN,other,Import,1,0.316,0.015,0.28,0.026
308,GARTEN,other,EE,0,0.209,0.014,0.258,0.021
309,GARTEN,other,EE,1,0.174,0.014,0.213,0.026
310,GARTEN,other,Domestic,0,0.171,0.014,0.236,0.021
311,GARTEN,other,Domestic,1,0.135,0.013,0.191,0.026
312,GARTEN,thirdParty,Import,0,0.34,0.015,0.31,0.021
313,GARTEN,thirdParty,Import,1,0.305,0.015,0.265,0.026
314,GARTEN,thirdParty,EE,0,0.199,0.014,0.243,0.021
315,GARTEN,thirdParty,EE,1,0.163,0.014,0.198,0.026
316,GARTEN,thirdParty,Domestic,0,0.16,0.013,0.221,0.021
317,GARTEN,thirdParty,Domestic,1,0.125,0.013,0.176,0.026
318,GARTEN,ownDeveloped,Import,0,0.412,0.016,0.341,0.021
319,GARTEN,ownDeveloped,Import,1,0.377,0.015,0.296,0.026
320,GARTEN,ownDeveloped,EE,0,0.271,0.014,0.274,0.021
321,GARTEN,ownDeveloped,EE,1,0.236,0.014,0.229,0.026
322,GARTEN,ownDeveloped,Domestic,0,0.232,0.014,0.252,0.021
323,GARTEN,ownDeveloped,Domestic,1,0.197,0.014,0.207,0.026
324,GARTEN,whiteLabel,Import,0,0.352,0.015,0.316,0.021
325,GARTEN,whiteLabel,Import,1,0.317,0.015,0.271,0.026
326,GARTEN,whiteLabel,EE,0,0.211,0.014,0.249,0.021
327,GARTEN,whiteLabel,EE,1,0.175,0.014,0.204,0.026
328,GARTEN,whiteLabel,Domestic,0,0.172,0.013,0.227,0.021
329,GARTEN,whiteLabel,Domestic,1,0.137,0.013,0.182,0.026
330,KÜCHE,exclusive,Import,0,0.574,0.019,0.491,0.029
331,KÜCHE,exclusive,Import,1,0.538,0.019,0.436,0.041
332,KÜCHE,exclusive,EE,0,0.432,0.018,0.424,0.029
333,KÜCHE,exclusive,EE,1,0.397,0.018,0.369,0.041
334,KÜCHE,exclusive,Domestic,0,0.393,0.018,0.402,0.029
335,KÜCHE,exclusive,Domestic,1,0.358,0.017,0.347,0.041
336,KÜCHE,other,Import,0,0.504,0.02,0.475,0.029
337,KÜCHE,other,Import,1,0.469,0.019,0.421,0.041
338,KÜCHE,other,EE,0,0.362,0.019,0.409,0.029
339,KÜCHE,other,EE,1,0.327,0.018,0.354,0.041
340,KÜCHE,other,Domestic,0,0.324,0.018,0.387,0.029
341,KÜCHE,other,Domestic,1,0.288,0.018,0.332,0.041
342,KÜCHE,thirdParty,Import,0,0.493,0.02,0.461,0.029
343,KÜCHE,thirdParty,Import,1,0.458,0.019,0.406,0.041
344,KÜCHE,thirdParty,EE,0,0.352,0.019,0.394,0.029
345,KÜCHE,thirdParty,EE,1,0.316,0.018,0.339,0.041
346,KÜCHE,thirdParty,Domestic,0,0.313,0.018,0.372,0.029
347,KÜCHE,thirdParty,Domestic,1,0.278,0.018,0.317,0.041
348,KÜCHE,ownDeveloped,Import,0,0.565,0.02,0.491,0.029
349,KÜCHE,ownDeveloped,Import,1,0.53,0.02,0.437,0.041
350,KÜCHE,ownDeveloped,EE,0,0.424,0.019,0.424,0.029
351,KÜCHE,ownDeveloped,EE,1,0.389,0.019,0.37,0.041
352,KÜCHE,ownDeveloped,Domestic,0,0.385,0.019,0.402,0.029
353,KÜCHE,ownDeveloped,Domestic,1,0.35,0.018,0.348,0.041
354,KÜCHE,whiteLabel,Import,0,0.505,0.02,0.467,0.029
355,KÜCHE,whiteLabel,Import,1,0.47,0.019,0.412,0.041
356,KÜCHE,whiteLabel,EE,0,0.364,0.019,0.4,0.029
357,KÜCHE,whiteLabel,EE,1,0.328,0.018,0.345,0.041
358,KÜCHE,whiteLabel,Domestic,0,0.325,0.018,0.378,0.029
359,KÜCHE,whiteLabel,Domestic,1,0.289,0.018,0.323,0.041
360,BOUTIQUE,exclusive,Import,0,0.472,0.014,0.336,0.021
361,BOUTIQUE,exclusive,Import,1,0.437,0.014,0.311,0.026
362,BOUTIQUE,exclusive,EE,0,0.33,0.013,0.27,0.021
363,BOUTIQUE,exclusive,EE,1,0.295,0.013,0.244,0.026
364,BOUTIQUE,exclusive,Domestic,0,0.292,0.012,0.248,0.021
365,BOUTIQUE,exclusive,Domestic,1,0.256,0.012,0.222,0.026
366,BOUTIQUE,other,Import,0,0.402,0.015,0.321,0.021
367,BOUTIQUE,other,Import,1,0.367,0.015,0.296,0.027
368,BOUTIQUE,other,EE,0,0.261,0.014,0.254,0.021
369,BOUTIQUE,other,EE,1,0.225,0.013,0.229,0.027
370,BOUTIQUE,other,Domestic,0,0.222,0.013,0.232,0.021
371,BOUTIQUE,other,Domestic,1,0.187,0.013,0.207,0.026
372,BOUTIQUE,thirdParty,Import,0,0.391,0.015,0.306,0.021
373,BOUTIQUE,thirdParty,Import,1,0.356,0.015,0.281,0.026
374,BOUTIQUE,thirdParty,EE,0,0.25,0.014,0.239,0.021
375,BOUTIQUE,thirdParty,EE,1,0.215,0.013,0.214,0.027
376,BOUTIQUE,thirdParty,Domestic,0,0.211,0.013,0.217,0.021
377,BOUTIQUE,thirdParty,Domestic,1,0.176,0.013,0.192,0.026
378,BOUTIQUE,ownDeveloped,Import,0,0.464,0.015,0.337,0.021
379,BOUTIQUE,ownDeveloped,Import,1,0.428,0.015,0.312,0.027
380,BOUTIQUE,ownDeveloped,EE,0,0.322,0.014,0.27,0.021
381,BOUTIQUE,ownDeveloped,EE,1,0.287,0.014,0.245,0.027
382,BOUTIQUE,ownDeveloped,Domestic,0,0.283,0.014,0.248,0.021
383,BOUTIQUE,ownDeveloped,Domestic,1,0.248,0.013,0.223,0.026
384,BOUTIQUE,whiteLabel,Import,0,0.403,0.015,0.312,0.021
385,BOUTIQUE,whiteLabel,Import,1,0.368,0.015,0.287,0.026
386,BOUTIQUE,whiteLabel,EE,0,0.262,0.014,0.246,0.021
387,BOUTIQUE,whiteLabel,EE,1,0.226,0.013,0.22,0.026
388,BOUTIQUE,whiteLabel,Domestic,0,0.223,0.013,0.224,0.021
389,BOUTIQUE,whiteLabel,Domestic,1,0.188,0.013,0.198,0.026
390,BABY,exclusive,Import,0,0.419,0.012,0.248,0.014
391,BABY,exclusive,Import,1,0.384,0.011,0.324,0.01
392,BABY,exclusive,EE,0,0.278,0.01,0.181,0.015
393,BABY,exclusive,EE,1,0.243,0.009,0.257,0.01
394,BABY,exclusive,Domestic,0,0.239,0.009,0.159,0.014
395,BABY,exclusive,Domestic,1,0.204,0.008,0.235,0.01
396,BABY,other,Import,0,0.35,0.012,0.232,0.015
397,BABY,other,Import,1,0.314,0.012,0.308,0.01
398,BABY,other,EE,0,0.208,0.011,0.165,0.015
399,BABY,other,EE,1,0.173,0.01,0.241,0.01
400,BABY,other,Domestic,0,0.169,0.01,0.143,0.015
401,BABY,other,Domestic,1,0.134,0.009,0.219,0.01
402,BABY,thirdParty,Import,0,0.339,0.012,0.218,0.015
403,BABY,thirdParty,Import,1,0.304,0.012,0.294,0.01
404,BABY,thirdParty,EE,0,0.197,0.011,0.151,0.015
405,BABY,thirdParty,EE,1,0.162,0.01,0.227,0.01
406,BABY,thirdParty,Domestic,0,0.159,0.01,0.129,0.015
407,BABY,thirdParty,Domestic,1,0.123,0.009,0.205,0.01
408,BABY,ownDeveloped,Import,0,0.411,0.013,0.248,0.015
409,BABY,ownDeveloped,Import,1,0.376,0.012,0.324,0.01
410,BABY,ownDeveloped,EE,0,0.27,0.011,0.181,0.015
411,BABY,ownDeveloped,EE,1,0.234,0.011,0.257,0.01
412,BABY,ownDeveloped,Domestic,0,0.231,0.01,0.159,0.015
413,BABY,ownDeveloped,Domestic,1,0.196,0.01,0.235,0.01
414,BABY,whiteLabel,Import,0,0.351,0.012,0.224,0.015
415,BABY,whiteLabel,Import,1,0.316,0.012,0.3,0.01
416,BABY,whiteLabel,EE,0,0.209,0.01,0.157,0.015
417,BABY,whiteLabel,EE,1,0.174,0.01,0.233,0.01
418,BABY,whiteLabel,Domestic,0,0.171,0.01,0.135,0.014
419,BABY,whiteLabel,Domestic,1,0.135,0.009,0.211,0.01
420,HEIMTEXTILIEN,exclusive,Import,0,0.494,0.014,0.365,0.021
421,HEIMTEXTILIEN,exclusive,Import,1,0.458,0.014,0.325,0.026
422,HEIMTEXTILIEN,exclusive,EE,0,0.352,0.013,0.298,0.021
423,HEIMTEXTILIEN,exclusive,EE,1,0.317,0.013,0.258,0.026
424,HEIMTEXTILIEN,exclusive,Domestic,0,0.313,0.012,0.276,0.02
425,HEIMTEXTILIEN,exclusive,Domestic,1,0.278,0.012,0.236,0.026
426,HEIMTEXTILIEN,other,Import,0,0.424,0.015,0.35,0.021
427,HEIMTEXTILIEN,other,Import,1,0.389,0.015,0.31,0.026
428,HEIMTEXTILIEN,other,EE,0,0.283,0.014,0.283,0.021
429,HEIMTEXTILIEN,other,EE,1,0.247,0.013,0.243,0.026
430,HEIMTEXTILIEN,other,Domestic,0,0.244,0.013,0.261,0.021
431,HEIMTEXTILIEN,other,Domestic,1,0.208,0.013,0.221,0.026
432,HEIMTEXTILIEN,thirdParty,Import,0,0.413,0.015,0.335,0.021
433,HEIMTEXTILIEN,thirdParty,Import,1,0.378,0.015,0.295,0.026
434,HEIMTEXTILIEN,thirdParty,EE,0,0.272,0.014,0.268,0.021
435,HEIMTEXTILIEN,thirdParty,EE,1,0.237,0.013,0.228,0.026
436,HEIMTEXTILIEN,thirdParty,Domestic,0,0.233,0.013,0.246,0.021
437,HEIMTEXTILIEN,thirdParty,Domestic,1,0.198,0.013,0.206,0.026
438,HEIMTEXTILIEN,ownDeveloped,Import,0,0.486,0.015,0.365,0.021
439,HEIMTEXTILIEN,ownDeveloped,Import,1,0.45,0.015,0.325,0.026
440,HEIMTEXTILIEN,ownDeveloped,EE,0,0.344,0.014,0.299,0.021
441,HEIMTEXTILIEN,ownDeveloped,EE,1,0.309,0.014,0.258,0.026
442,HEIMTEXTILIEN,ownDeveloped,Domestic,0,0.305,0.014,0.276,0.021
443,HEIMTEXTILIEN,ownDeveloped,Domestic,1,0.27,0.013,0.236,0.026
444,HEIMTEXTILIEN,whiteLabel,Import,0,0.425,0.015,0.341,0.021
445,HEIMTEXTILIEN,whiteLabel,Import,1,0.39,0.015,0.301,0.026
446,HEIMTEXTILIEN,whiteLabel,EE,0,0.284,0.014,0.274,0.021
447,HEIMTEXTILIEN,whiteLabel,EE,1,0.248,0.013,0.234,0.026
448,HEIMTEXTILIEN,whiteLabel,Domestic,0,0.245,0.013,0.252,0.021
449,HEIMTEXTILIEN,whiteLabel,Domestic,1,0.21,0.013,0.212,0.026
450,MATRATZEN&LATTENROSTE,exclusive,Import,0,0.547,0.014,0.413,0.023
451,MATRATZEN&LATTENROSTE,exclusive,Import,1,0.512,0.014,0.434,0.029
452,MATRATZEN&LATTENROSTE,exclusive,EE,0,0.405,0.013,0.346,0.023
453,MATRATZEN&LATTENROSTE,exclusive,EE,1,0.37,0.013,0.367,0.029
454,MATRATZEN&LATTENROSTE,exclusive,Domestic,0,0.367,0.012,0.324,0.023
455,MATRATZEN&LATTENROSTE,exclusive,Domestic,1,0.331,0.012,0.345,0.029
456,MATRATZEN&LATTENROSTE,other,Import,0,0.477,0.015,0.398,0.023
457,MATRATZEN&LATTENROSTE,other,Import,1,0.442,0.015,0.418,0.029
458,MATRATZEN&LATTENROSTE,other,EE,0,0.336,0.014,0.331,0.023
459,MATRATZEN&LATTENROSTE,other,EE,1,0.3,0.013,0.352,0.029
460,MATRATZEN&LATTENROSTE,other,Domestic,0,0.297,0.013,0.309,0.023
461,MATRATZEN&LATTENROSTE,other,Domestic,1,0.262,0.013,0.33,0.029
462,MATRATZEN&LATTENROSTE,thirdParty,Import,0,0.467,0.015,0.383,0.023
463,MATRATZEN&LATTENROSTE,thirdParty,Import,1,0.431,0.015,0.404,0.029
464,MATRATZEN&LATTENROSTE,thirdParty,EE,0,0.325,0.014,0.316,0.023
465,MATRATZEN&LATTENROSTE,thirdParty,EE,1,0.29,0.013,0.337,0.029
466,MATRATZEN&LATTENROSTE,thirdParty,Domestic,0,0.286,0.013,0.294,0.023
467,MATRATZEN&LATTENROSTE,thirdParty,Domestic,1,0.251,0.013,0.315,0.029
468,MATRATZEN&LATTENROSTE,ownDeveloped,Import,0,0.539,0.015,0.413,0.023
469,MATRATZEN&LATTENROSTE,ownDeveloped,Import,1,0.503,0.015,0.434,0.029
470,MATRATZEN&LATTENROSTE,ownDeveloped,EE,0,0.397,0.014,0.346,0.023
471,MATRATZEN&LATTENROSTE,ownDeveloped,EE,1,0.362,0.014,0.367,0.029
472,MATRATZEN&LATTENROSTE,ownDeveloped,Domestic,0,0.358,0.014,0.324,0.023
473,MATRATZEN&LATTENROSTE,ownDeveloped,Domestic,1,0.323,0.013,0.345,0.029
474,MATRATZEN&LATTENROSTE,whiteLabel,Import,0,0.478,0.015,0.389,0.023
475,MATRATZEN&LATTENROSTE,whiteLabel,Import,1,0.443,0.015,0.41,0.029
476,MATRATZEN&LATTENROSTE,whiteLabel,EE,0,0.337,0.014,0.322,0.023
477,MATRATZEN&LATTENROSTE,whiteLabel,EE,1,0.302,0.013,0.343,0.029
478,MATRATZEN&LATTENROSTE,whiteLabel,Domestic,0,0.298,0.013,0.3,0.023
479,MATRATZEN&LATTENROSTE,whiteLabel,Domestic,1,0.263,0.013,0.321,0.029
480,BETTEN,exclusive,Import,0,0.492,0.014,0.383,0.021
481,BETTEN,exclusive,Import,1,0.457,0.014,0.372,0.026
482,BETTEN,exclusive,EE,0,0.351,0.013,0.316,0.021
483,BETTEN,exclusive,EE,1,0.316,0.012,0.305,0.026
484,BETTEN,exclusive,Domestic,0,0.312,0.012,0.294,0.021
485,BETTEN,exclusive,Domestic,1,0.277,0.012,0.283,0.026
486,BETTEN,other,Import,0,0.423,0.015,0.368,0.021
487,BETTEN,other,Import,1,0.387,0.015,0.356,0.026
488,BETTEN,other,EE,0,0.281,0.014,0.301,0.021
489,BETTEN,other,EE,1,0.246,0.013,0.29,0.026
490,BETTEN,other,Domestic,0,0.242,0.013,0.279,0.021
491,BETTEN,other,Domestic,1,0.207,0.013,0.268,0.026
492,BETTEN,thirdParty,Import,0,0.412,0.015,0.353,0.021
493,BETTEN,thirdParty,Import,1,0.377,0.015,0.342,0.026
494,BETTEN,thirdParty,EE,0,0.271,0.013,0.286,0.021
495,BETTEN,thirdParty,EE,1,0.235,0.013,0.275,0.026
496,BETTEN,thirdParty,Domestic,0,0.232,0.013,0.264,0.021
497,BETTEN,thirdParty,Domestic,1,0.196,0.012,0.253,0.026
498,BETTEN,ownDeveloped,Import,0,0.484,0.015,0.384,0.021
499,BETTEN,ownDeveloped,Import,1,0.449,0.015,0.372,0.026
500,BETTEN,ownDeveloped,EE,0,0.343,0.014,0.317,0.021
501,BETTEN,ownDeveloped,EE,1,0.307,0.014,0.305,0.026
502,BETTEN,ownDeveloped,Domestic,0,0.304,0.013,0.295,0.021
503,BETTEN,ownDeveloped,Domestic,1,0.269,0.013,0.283,0.026
504,BETTEN,whiteLabel,Import,0,0.424,0.015,0.359,0.021
505,BETTEN,whiteLabel,Import,1,0.389,0.014,0.348,0.026
506,BETTEN,whiteLabel,EE,0,0.282,0.013,0.292,0.021
507,BETTEN,whiteLabel,EE,1,0.247,0.013,0.281,0.026
508,BETTEN,whiteLabel,Domestic,0,0.244,0.013,0.27,0.021
509,BETTEN,whiteLabel,Domestic,1,0.208,0.012,0.259,0.026
510,BAD,exclusive,Import,0,0.587,0.014,0.44,0.021
511,BAD,exclusive,Import,1,0.552,0.014,0.48,0.025
512,BAD,exclusive,EE,0,0.446,0.013,0.373,0.021
513,BAD,exclusive,EE,1,0.41,0.012,0.414,0.025
514,BAD,exclusive,Domestic,0,0.407,0.012,0.351,0.021
515,BAD,exclusive,Domestic,1,0.372,0.012,0.392,0.025
516,BAD,other,Import,0,0.518,0.015,0.424,0.021
517,BAD,other,Import,1,0.482,0.015,0.465,0.026
518,BAD,other,EE,0,0.376,0.014,0.358,0.021
519,BAD,other,EE,1,0.341,0.013,0.398,0.026
520,BAD,other,Domestic,0,0.337,0.013,0.336,0.021
521,BAD,other,Domestic,1,0.302,0.013,0.376,0.025
522,BAD,thirdParty,Import,0,0.507,0.015,0.41,0.021
523,BAD,thirdParty,Import,1,0.472,0.015,0.45,0.025
524,BAD,thirdParty,EE,0,0.365,0.014,0.343,0.021
525,BAD,thirdParty,EE,1,0.33,0.013,0.383,0.026
526,BAD,thirdParty,Domestic,0,0.327,0.013,0.321,0.021
527,BAD,thirdParty,Domestic,1,0.291,0.013,0.361,0.025
528,BAD,ownDeveloped,Import,0,0.579,0.015,0.44,0.021
529,BAD,ownDeveloped,Import,1,0.544,0.015,0.481,0.026
530,BAD,ownDeveloped,EE,0,0.438,0.014,0.373,0.021
531,BAD,ownDeveloped,EE,1,0.402,0.014,0.414,0.026
532,BAD,ownDeveloped,Domestic,0,0.399,0.014,0.351,0.021
533,BAD,ownDeveloped,Domestic,1,0.363,0.013,0.392,0.025
534,BAD,whiteLabel,Import,0,0.519,0.015,0.416,0.021
535,BAD,whiteLabel,Import,1,0.483,0.015,0.456,0.025
536,BAD,whiteLabel,EE,0,0.377,0.013,0.349,0.021
537,BAD,whiteLabel,EE,1,0.342,0.013,0.39,0.025
538,BAD,whiteLabel,Domestic,0,0.338,0.013,0.327,0.021
539,BAD,whiteLabel,Domestic,1,0.303,0.013,0.368,0.025
540,ESSZIMMERSTÜHLE&BÄNKE,exclusive,Import,0,0.58,0.014,0.418,0.021
541,ESSZIMMERSTÜHLE&BÄNKE,exclusive,Import,1,0.545,0.014,0.468,0.025
542,ESSZIMMERSTÜHLE&BÄNKE,exclusive,EE,0,0.439,0.013,0.351,0.021
543,ESSZIMMERSTÜHLE&BÄNKE,exclusive,EE,1,0.403,0.012,0.401,0.025
544,ESSZIMMERSTÜHLE&BÄNKE,exclusive,Domestic,0,0.4,0.012,0.329,0.021
545,ESSZIMMERSTÜHLE&BÄNKE,exclusive,Domestic,1,0.364,0.012,0.379,0.025
546,ESSZIMMERSTÜHLE&BÄNKE,other,Import,0,0.51,0.015,0.402,0.021
547,ESSZIMMERSTÜHLE&BÄNKE,other,Import,1,0.475,0.015,0.452,0.025
548,ESSZIMMERSTÜHLE&BÄNKE,other,EE,0,0.369,0.014,0.336,0.021
549,ESSZIMMERSTÜHLE&BÄNKE,other,EE,1,0.333,0.013,0.386,0.025
550,ESSZIMMERSTÜHLE&BÄNKE,other,Domestic,0,0.33,0.013,0.313,0.021
551,ESSZIMMERSTÜHLE&BÄNKE,other,Domestic,1,0.295,0.013,0.364,0.025
552,ESSZIMMERSTÜHLE&BÄNKE,thirdParty,Import,0,0.5,0.015,0.388,0.021
553,ESSZIMMERSTÜHLE&BÄNKE,thirdParty,Import,1,0.464,0.014,0.438,0.025
554,ESSZIMMERSTÜHLE&BÄNKE,thirdParty,EE,0,0.358,0.013,0.321,0.021
555,ESSZIMMERSTÜHLE&BÄNKE,thirdParty,EE,1,0.323,0.013,0.371,0.025
556,ESSZIMMERSTÜHLE&BÄNKE,thirdParty,Domestic,0,0.319,0.013,0.299,0.021
557,ESSZIMMERSTÜHLE&BÄNKE,thirdParty,Domestic,1,0.284,0.012,0.349,0.025
558,ESSZIMMERSTÜHLE&BÄNKE,ownDeveloped,Import,0,0.572,0.015,0.418,0.021
559,ESSZIMMERSTÜHLE&BÄNKE,ownDeveloped,Import,1,0.537,0.015,0.468,0.025
560,ESSZIMMERSTÜHLE&BÄNKE,ownDeveloped,EE,0,0.43,0.014,0.351,0.021
561,ESSZIMMERSTÜHLE&BÄNKE,ownDeveloped,EE,1,0.395,0.014,0.401,0.025
562,ESSZIMMERSTÜHLE&BÄNKE,ownDeveloped,Domestic,0,0.392,0.013,0.329,0.021
563,ESSZIMMERSTÜHLE&BÄNKE,ownDeveloped,Domestic,1,0.356,0.013,0.379,0.025
564,ESSZIMMERSTÜHLE&BÄNKE,whiteLabel,Import,0,0.512,0.015,0.394,0.021
565,ESSZIMMERSTÜHLE&BÄNKE,whiteLabel,Import,1,0.476,0.014,0.444,0.025
566,ESSZIMMERSTÜHLE&BÄNKE,whiteLabel,EE,0,0.37,0.013,0.327,0.021
567,ESSZIMMERSTÜHLE&BÄNKE,whiteLabel,EE,1,0.335,0.013,0.377,0.025
568,ESSZIMMERSTÜHLE&BÄNKE,whiteLabel,Domestic,0,0.331,0.013,0.305,0.021
569,ESSZIMMERSTÜHLE&BÄNKE,whiteLabel,Domestic,1,0.296,0.012,0.355,0.025
